Name,Type,Address,Latitude,Longitude,Apple Maps
"The Inbetween Cafe","Cafe","12/381 Scarborough Beach Rd, Osborne Park WA 6017, Australia",-31.9130383,115.816544,"https://maps.apple/p/seI757vfGvAE~h"
"Heaven Retreat Massage","Massage","1/454 Scarborough Beach Rd, Osborne Park WA 6017, Australia",-31.9059544,115.810539,"https://maps.apple/p/xLVSJrtXxxRIZ-"
"Tesla Perth Osborne Park","Car dealership","419 Scarborough Beach Rd, Osborne Park WA 6017, Australia",-31.909223556518555,115.81250762939453,"https://maps.apple/p/J9~Dhih-IVLtIQ"
"Auto Classic BMW","Car dealership and service centre","384 Scarborough Beach Rd, Osborne Park WA 6017, Australia",-31.911510467529297,115.81707763671875,"https://maps.apple/p/SkgxKHYv5j5n.n"
